dict_size,topk,uses_l1,regime,exclusive_pct,metric,delta_vs_baseline
16384,160,True,DFC free-exclusive,0.1,format_accuracy_A_post,-7.0
16384,160,True,DFC free-exclusive,0.1,format_accuracy_B_post,0.0
16384,160,True,DFC free-exclusive,0.1,overall_score_A_post,-0.25
16384,160,True,DFC free-exclusive,0.1,overall_score_B_post,0.0
16384,160,True,DFC free-exclusive,0.1,tool_correctness_A_post,-9.0
16384,160,True,DFC free-exclusive,0.1,tool_correctness_B_post,0.0
16384,45,True,DFC free-exclusive,0.1,format_accuracy_A_post,-18.0
16384,45,True,DFC free-exclusive,0.1,format_accuracy_B_post,0.0
16384,45,True,DFC free-exclusive,0.1,overall_score_A_post,-0.56
16384,45,True,DFC free-exclusive,0.1,overall_score_B_post,-0.21999999999999997
16384,45,True,DFC free-exclusive,0.1,tool_correctness_A_post,-19.0
16384,45,True,DFC free-exclusive,0.1,tool_correctness_B_post,-11.0
16384,90,True,DFC free-exclusive,0.1,format_accuracy_A_post,12.0
16384,90,True,DFC free-exclusive,0.1,format_accuracy_B_post,0.0
16384,90,True,DFC free-exclusive,0.1,overall_score_A_post,0.31999999999999995
16384,90,True,DFC free-exclusive,0.1,overall_score_B_post,0.31999999999999995
16384,90,True,DFC free-exclusive,0.1,tool_correctness_A_post,10.0
16384,90,True,DFC free-exclusive,0.1,tool_correctness_B_post,16.0
16384,160,True,DFC penalized-exclusive,0.1,format_accuracy_A_post,-14.0
16384,160,True,DFC penalized-exclusive,0.1,format_accuracy_B_post,0.0
16384,160,True,DFC penalized-exclusive,0.1,overall_score_A_post,-0.4
16384,160,True,DFC penalized-exclusive,0.1,overall_score_B_post,0.020000000000000018
16384,160,True,DFC penalized-exclusive,0.1,tool_correctness_A_post,-13.0
16384,160,True,DFC penalized-exclusive,0.1,tool_correctness_B_post,1.0
16384,45,True,DFC penalized-exclusive,0.1,format_accuracy_A_post,-1.0
16384,45,True,DFC penalized-exclusive,0.1,format_accuracy_B_post,0.0
16384,45,True,DFC penalized-exclusive,0.1,overall_score_A_post,-0.010000000000000009
16384,45,True,DFC penalized-exclusive,0.1,overall_score_B_post,-0.09999999999999998
16384,45,True,DFC penalized-exclusive,0.1,tool_correctness_A_post,0.0
16384,45,True,DFC penalized-exclusive,0.1,tool_correctness_B_post,-5.0
16384,160,True,DFC free-exclusive,0.03,format_accuracy_A_post,-17.0
16384,160,True,DFC free-exclusive,0.03,format_accuracy_B_post,0.0
16384,160,True,DFC free-exclusive,0.03,overall_score_A_post,-0.51
16384,160,True,DFC free-exclusive,0.03,overall_score_B_post,-0.019999999999999907
16384,160,True,DFC free-exclusive,0.03,tool_correctness_A_post,-17.0
16384,160,True,DFC free-exclusive,0.03,tool_correctness_B_post,-1.0
16384,45,True,DFC free-exclusive,0.03,format_accuracy_A_post,-2.0
16384,45,True,DFC free-exclusive,0.03,format_accuracy_B_post,0.0
16384,45,True,DFC free-exclusive,0.03,overall_score_A_post,-0.06000000000000005
16384,45,True,DFC free-exclusive,0.03,overall_score_B_post,-0.12
16384,45,True,DFC free-exclusive,0.03,tool_correctness_A_post,-2.0
